circuit_width,circuit_depth,u1,u2,u3,cx,hamming_weight,25_observed_state_prob,50_observed_state_prob,75_observed_state_prob,25_frc_state_error,50_frc_state_error,75_frc_state_error,25_frc_program_error,50_frc_program_error,75_frc_program_error,true_probability,state_name
5,2,2,1,1,3,0,8.0,10.0,13.0,81.0,84.0,87.0,81.0,84.00000000000001,87.00000000000001,8.0,00000
5,2,2,1,1,3,1,7.000000000000001,9.0,11.0,40.0,42.5,46.0,81.0,84.00000000000001,87.00000000000001,14.000000000000002,00001
5,2,2,1,1,3,1,28.999999999999996,33.0,36.0,4.0,6.0,8.0,81.0,84.00000000000001,87.00000000000001,40.0,00010
5,2,2,1,1,3,2,27.750000000000004,30.0,34.0,14.000000000000002,16.5,19.0,81.0,84.00000000000001,87.00000000000001,38.0,00011
5,2,2,1,1,3,1,0.0,1.0,2.0,1.0,2.0,3.0,81.0,84.00000000000001,87.00000000000001,0.0,00100
5,2,2,1,1,3,2,0.0,1.0,2.0,3.0,4.0,6.0,81.0,84.00000000000001,87.00000000000001,0.0,00101
5,2,2,1,1,3,2,2.0,3.0,4.0,0.0,1.0,1.0,81.0,84.00000000000001,87.00000000000001,0.0,00110
5,2,2,1,1,3,3,2.0,3.0,4.0,1.0,2.0,3.0,81.0,84.00000000000001,87.00000000000001,0.0,00111
5,2,2,1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,01000
5,2,2,1,1,3,2,0.0,0.0,0.0,0.0,1.0,1.0,81.0,84.00000000000001,87.00000000000001,0.0,01001
5,2,2,1,1,3,2,0.0,0.0,1.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,01010
5,2,2,1,1,3,3,0.0,0.0,1.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,01011
5,2,2,1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,01100
5,2,2,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,01101
